epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.7861,2.50581,3.87012,2.06692,0.00517,0.46299,0.0886,0.02606,2.1975,3.63513,1.81825,0.000406504,0.000406504,0.000406504
2,19.6144,2.29479,3.08888,1.82505,0.36778,0.15158,0.06939,0.02206,2.37604,3.36878,2.12808,0.000815021,0.000815021,0.000815021
3,28.4823,2.249,2.99769,1.84736,0.17339,0.24527,0.09306,0.0335,2.32529,3.31167,2.07696,0.00121529,0.00121529,0.00121529
4,37.6456,2.28233,2.9284,1.80086,0.21825,0.3304,0.17665,0.05924,2.35002,4.01323,2.10191,0.00121287,0.00121287,0.00121287
5,46.3025,2.2613,2.78566,1.80375,0.23505,0.3151,0.17751,0.06011,2.3466,2.67079,1.97291,0.0012005,0.0012005,0.0012005
6,55.026,2.25279,2.67408,1.80722,0.20923,0.31202,0.19157,0.0692,2.31174,2.72916,1.98251,0.00118812,0.00118812,0.00118812
7,63.6959,2.23875,2.66012,1.82259,0.23751,0.2784,0.16966,0.06261,2.28575,2.74464,1.95343,0.00117575,0.00117575,0.00117575
8,72.3265,2.22847,2.64081,1.83372,0.29123,0.3418,0.20622,0.07377,2.28964,2.43371,1.96824,0.00116337,0.00116337,0.00116337
9,80.9615,2.22351,2.5808,1.81486,0.27395,0.33551,0.22799,0.08275,2.30647,2.42319,1.99747,0.001151,0.001151,0.001151
10,89.5619,2.21668,2.52718,1.82729,0.17141,0.19579,0.11113,0.03872,2.30153,2.914,1.91568,0.00113863,0.00113863,0.00113863
11,98.2202,2.24123,2.48529,1.82081,0.26118,0.31192,0.19702,0.07174,2.31498,2.43896,1.93402,0.00112625,0.00112625,0.00112625
12,106.904,2.18858,2.45838,1.79356,0.26207,0.32581,0.21578,0.08197,2.25883,2.40218,1.96239,0.00111388,0.00111388,0.00111388
13,115.507,2.22305,2.49854,1.84256,0.32154,0.28832,0.23207,0.08327,2.28063,2.32487,1.96074,0.0011015,0.0011015,0.0011015
14,124.079,2.18488,2.42445,1.80592,0.22997,0.17602,0.12578,0.04542,2.28707,2.97288,2.00746,0.00108913,0.00108913,0.00108913
15,132.77,2.18927,2.46499,1.80235,0.26001,0.29149,0.17331,0.06374,2.25202,2.62375,1.95848,0.00107675,0.00107675,0.00107675
16,141.251,2.16377,2.41924,1.79347,0.25802,0.29272,0.19115,0.07175,2.28136,2.51622,1.94477,0.00106437,0.00106437,0.00106437
17,149.915,2.17897,2.42461,1.8194,0.50581,0.1142,0.11137,0.03937,2.25151,3.27926,1.96314,0.001052,0.001052,0.001052
18,158.518,2.15342,2.34058,1.79475,0.32007,0.29201,0.22966,0.08797,2.28508,2.49592,2.03313,0.00103962,0.00103962,0.00103962
19,167.166,2.1897,2.35436,1.81777,0.31333,0.30618,0.22697,0.08649,2.2864,2.41611,1.99402,0.00102725,0.00102725,0.00102725
20,175.783,2.13356,2.31602,1.79035,0.25195,0.27698,0.18878,0.07187,2.22175,2.6079,1.93096,0.00101488,0.00101488,0.00101488
21,184.323,2.14195,2.29359,1.76406,0.31685,0.33147,0.23735,0.08346,2.30237,2.42769,1.96362,0.0010025,0.0010025,0.0010025
22,192.954,2.14938,2.29296,1.80005,0.16022,0.26231,0.11468,0.04186,2.25371,3.16205,1.9786,0.000990125,0.000990125,0.000990125
23,201.491,2.14462,2.2812,1.78733,0.26588,0.28158,0.17811,0.06576,2.26081,2.56099,2.00035,0.00097775,0.00097775,0.00097775
24,210.111,2.1527,2.29308,1.79754,0.28319,0.27181,0.19069,0.06777,2.27822,2.54288,1.9537,0.000965375,0.000965375,0.000965375
25,218.721,2.13395,2.27588,1.79768,0.23936,0.29983,0.15503,0.05078,2.25819,2.74225,1.96855,0.000953,0.000953,0.000953
26,227.307,2.12209,2.25221,1.7845,0.30706,0.32712,0.23318,0.07849,2.27704,2.39538,1.97687,0.000940625,0.000940625,0.000940625
27,235.967,2.13216,2.24009,1.78353,0.35627,0.28333,0.27024,0.09827,2.2918,2.32699,1.94258,0.00092825,0.00092825,0.00092825
28,244.598,2.09041,2.21872,1.76285,0.57362,0.25221,0.26116,0.09088,2.27295,2.26944,1.93899,0.000915875,0.000915875,0.000915875
29,253.185,2.09944,2.17526,1.73888,0.31965,0.3687,0.24778,0.08854,2.26323,2.36335,1.95004,0.0009035,0.0009035,0.0009035
30,261.746,2.09347,2.15177,1.75577,0.33951,0.29302,0.25335,0.09352,2.28899,2.28761,1.97587,0.000891125,0.000891125,0.000891125
31,270.332,2.09395,2.14959,1.75698,0.26155,0.2796,0.19704,0.06855,2.34817,2.50341,2.0378,0.00087875,0.00087875,0.00087875
32,279.007,2.12075,2.10222,1.74713,0.39164,0.34506,0.29672,0.10809,2.26436,2.23992,1.93225,0.000866375,0.000866375,0.000866375
33,287.71,2.08528,2.15367,1.74934,0.32538,0.30901,0.24283,0.08722,2.26118,2.36625,1.98338,0.000854,0.000854,0.000854
34,296.405,2.09083,2.12651,1.73396,0.35562,0.34068,0.26209,0.09122,2.31276,2.30232,2.04492,0.000841625,0.000841625,0.000841625
35,305.027,2.0683,2.10478,1.71572,0.24114,0.26545,0.1629,0.05762,2.29504,2.74705,1.9828,0.00082925,0.00082925,0.00082925
36,313.69,2.07449,2.08737,1.73612,0.31009,0.33621,0.28724,0.10477,2.30101,2.23416,2.00326,0.000816875,0.000816875,0.000816875
37,322.27,2.06893,2.06871,1.73364,0.38239,0.34503,0.29073,0.10719,2.28523,2.2109,2.00484,0.0008045,0.0008045,0.0008045
38,330.922,2.0303,2.04527,1.72128,0.41571,0.34266,0.2994,0.10805,2.2984,2.28798,2.01813,0.000792125,0.000792125,0.000792125
39,339.551,2.05615,2.05915,1.74446,0.27314,0.34564,0.24026,0.08119,2.32861,2.42861,2.0426,0.00077975,0.00077975,0.00077975
40,348.131,2.03896,2.0386,1.72775,0.27378,0.29666,0.18756,0.06477,2.32397,2.61353,2.03135,0.000767375,0.000767375,0.000767375
41,356.729,2.03879,2.05206,1.72438,0.40606,0.32454,0.30314,0.113,2.26608,2.20211,1.93696,0.000755,0.000755,0.000755
42,365.239,2.02759,2.01395,1.70046,0.30475,0.32326,0.23049,0.07919,2.32888,2.51477,2.0194,0.000742625,0.000742625,0.000742625
43,373.87,2.05751,2.03819,1.73985,0.30071,0.3158,0.2267,0.07895,2.36974,2.41438,2.00922,0.00073025,0.00073025,0.00073025
44,382.432,2.06525,2.01805,1.75235,0.35167,0.32548,0.25548,0.08818,2.2986,2.38944,1.96649,0.000717875,0.000717875,0.000717875
45,390.99,2.04987,1.98753,1.73341,0.28948,0.30459,0.20216,0.07114,2.28051,2.53396,1.98818,0.0007055,0.0007055,0.0007055
46,399.509,2.02112,1.9299,1.71395,0.39949,0.33633,0.2956,0.11044,2.30785,2.20437,2.0341,0.000693125,0.000693125,0.000693125
47,408.07,2.00292,1.95316,1.71786,0.41503,0.35265,0.32313,0.12072,2.30408,2.1391,2.04388,0.00068075,0.00068075,0.00068075
48,416.666,2.02739,1.99457,1.72904,0.39359,0.2887,0.28368,0.10361,2.30175,2.28562,2.02727,0.000668375,0.000668375,0.000668375
49,425.307,1.96887,1.95356,1.696,0.39852,0.33298,0.2898,0.10635,2.32575,2.19935,2.02447,0.000656,0.000656,0.000656
50,433.854,1.978,1.90343,1.6872,0.42916,0.25386,0.23097,0.08486,2.33899,2.42155,2.06629,0.000643625,0.000643625,0.000643625
51,442.445,1.98635,1.9346,1.70345,0.39662,0.33299,0.28851,0.0954,2.39483,2.25149,2.11114,0.00063125,0.00063125,0.00063125
52,451.052,2.00753,1.90405,1.71356,0.32323,0.34411,0.27503,0.10103,2.35829,2.23899,2.02607,0.000618875,0.000618875,0.000618875
53,459.704,1.99599,1.88893,1.69924,0.35518,0.32418,0.29565,0.10836,2.30423,2.18485,2.02424,0.0006065,0.0006065,0.0006065
54,468.298,1.96727,1.84919,1.67354,0.34868,0.32367,0.29246,0.10398,2.31431,2.22035,2.03018,0.000594125,0.000594125,0.000594125
55,476.926,1.95938,1.86924,1.6986,0.35473,0.35221,0.29492,0.10535,2.30996,2.19847,2.02777,0.00058175,0.00058175,0.00058175
56,485.507,1.95311,1.83141,1.66691,0.43949,0.33815,0.31023,0.10728,2.37634,2.25156,2.07676,0.000569375,0.000569375,0.000569375
57,494.122,1.96599,1.84824,1.68334,0.32649,0.3086,0.25507,0.08875,2.31603,2.33809,2.0328,0.000557,0.000557,0.000557
58,502.745,1.94417,1.75417,1.66539,0.46262,0.32691,0.31889,0.112,2.36451,2.16922,2.05846,0.000544625,0.000544625,0.000544625
59,511.34,1.95416,1.82638,1.69452,0.43699,0.31997,0.2993,0.10848,2.36076,2.17786,2.06166,0.00053225,0.00053225,0.00053225
60,519.93,1.92177,1.79188,1.6401,0.48024,0.34503,0.34356,0.12294,2.34775,2.11541,2.04938,0.000519875,0.000519875,0.000519875
61,528.471,1.93452,1.78806,1.66565,0.46428,0.3508,0.33965,0.12146,2.34971,2.11561,2.06206,0.0005075,0.0005075,0.0005075
62,537.128,1.95792,1.75831,1.67381,0.38621,0.35373,0.31689,0.11163,2.34536,2.16171,2.06088,0.000495125,0.000495125,0.000495125
63,545.804,1.90607,1.73524,1.64705,0.29964,0.32036,0.22922,0.07876,2.3914,2.51439,2.05873,0.00048275,0.00048275,0.00048275
64,554.364,1.93729,1.80145,1.66498,0.36334,0.30666,0.27353,0.09518,2.38226,2.40472,2.05555,0.000470375,0.000470375,0.000470375
65,562.905,1.89692,1.75953,1.62563,0.35093,0.33801,0.30127,0.1014,2.38339,2.25578,2.07028,0.000458,0.000458,0.000458
66,571.532,1.9419,1.70431,1.62626,0.36534,0.33561,0.30164,0.10858,2.37518,2.13472,2.04944,0.000445625,0.000445625,0.000445625
67,580.164,1.88515,1.69528,1.62204,0.30588,0.30574,0.20476,0.06803,2.3783,2.63561,2.07231,0.00043325,0.00043325,0.00043325
68,588.706,1.883,1.68618,1.63375,0.32963,0.32882,0.2857,0.09948,2.36831,2.22852,2.08623,0.000420875,0.000420875,0.000420875
69,597.317,1.87886,1.68211,1.63609,0.40722,0.38903,0.33572,0.11499,2.36303,2.08647,2.05588,0.0004085,0.0004085,0.0004085
70,605.827,1.87395,1.67699,1.61347,0.32095,0.36965,0.30345,0.10615,2.38881,2.14983,2.07326,0.000396125,0.000396125,0.000396125
71,614.464,1.85092,1.65876,1.61712,0.42365,0.3887,0.33147,0.11499,2.37932,2.13096,2.09723,0.00038375,0.00038375,0.00038375
72,623.005,1.82543,1.63693,1.59717,0.42081,0.34756,0.324,0.11363,2.36005,2.13079,2.08391,0.000371375,0.000371375,0.000371375
73,631.649,1.84092,1.59463,1.58647,0.44882,0.31337,0.31471,0.10965,2.37132,2.14397,2.0916,0.000359,0.000359,0.000359
74,640.172,1.84157,1.59898,1.58696,0.35938,0.31302,0.26057,0.08753,2.43048,2.33927,2.12523,0.000346625,0.000346625,0.000346625
75,648.773,1.84306,1.59668,1.5904,0.43809,0.36087,0.32801,0.11267,2.3857,2.11583,2.10628,0.00033425,0.00033425,0.00033425
76,657.315,1.82961,1.55266,1.62158,0.44605,0.34394,0.31842,0.10905,2.40324,2.20655,2.1203,0.000321875,0.000321875,0.000321875
77,665.953,1.82817,1.53607,1.57479,0.29432,0.34232,0.24725,0.0875,2.40546,2.48612,2.10242,0.0003095,0.0003095,0.0003095
78,674.565,1.79106,1.57947,1.57264,0.46893,0.29717,0.30641,0.10443,2.41127,2.22345,2.12644,0.000297125,0.000297125,0.000297125
79,683.027,1.80378,1.54563,1.56408,0.38625,0.31017,0.29917,0.1039,2.42401,2.19582,2.11701,0.00028475,0.00028475,0.00028475
80,691.559,1.81992,1.56206,1.59123,0.41213,0.31834,0.31763,0.10905,2.40688,2.15405,2.1211,0.000272375,0.000272375,0.000272375
81,700.165,1.81082,1.57079,1.57643,0.43752,0.32875,0.30987,0.10595,2.4269,2.17769,2.16074,0.00026,0.00026,0.00026
82,708.694,1.80196,1.59197,1.58182,0.41098,0.33391,0.30525,0.10481,2.42538,2.19728,2.11888,0.000247625,0.000247625,0.000247625
83,717.244,1.75953,1.48201,1.53884,0.38686,0.33677,0.30202,0.1027,2.41698,2.23317,2.11894,0.00023525,0.00023525,0.00023525
84,725.771,1.76587,1.48475,1.54191,0.28785,0.28849,0.22729,0.07481,2.43975,2.53994,2.13699,0.000222875,0.000222875,0.000222875
85,734.334,1.75287,1.51392,1.54442,0.44827,0.33584,0.31166,0.10813,2.43154,2.20814,2.12093,0.0002105,0.0002105,0.0002105
86,742.894,1.77059,1.50946,1.54934,0.36112,0.35717,0.29941,0.10781,2.4274,2.14918,2.13556,0.000198125,0.000198125,0.000198125
87,751.508,1.7408,1.44378,1.54872,0.43843,0.35017,0.32392,0.10743,2.44955,2.15278,2.16915,0.00018575,0.00018575,0.00018575
88,760.096,1.73753,1.46729,1.53003,0.40927,0.36862,0.32118,0.10608,2.47282,2.16326,2.16696,0.000173375,0.000173375,0.000173375
89,768.715,1.739,1.41929,1.52047,0.45472,0.30433,0.30874,0.10482,2.45168,2.20668,2.17526,0.000161,0.000161,0.000161
90,777.272,1.7392,1.4743,1.5421,0.38123,0.39098,0.33105,0.11513,2.43378,2.11459,2.16116,0.000148625,0.000148625,0.000148625
91,787.21,1.75963,1.4161,1.61308,0.46968,0.3112,0.30952,0.10624,2.43504,2.23087,2.13771,0.00013625,0.00013625,0.00013625
92,795.79,1.76174,1.45192,1.61838,0.37874,0.3708,0.31575,0.10926,2.4335,2.16648,2.14811,0.000123875,0.000123875,0.000123875
93,804.285,1.72321,1.37194,1.61519,0.43762,0.33214,0.31527,0.10675,2.44577,2.15206,2.17565,0.0001115,0.0001115,0.0001115
94,812.841,1.69633,1.32201,1.59582,0.4585,0.29662,0.31319,0.10842,2.44938,2.16278,2.17495,9.9125e-05,9.9125e-05,9.9125e-05
95,821.399,1.70861,1.32476,1.59675,0.40994,0.32122,0.30421,0.10217,2.45572,2.16251,2.18111,8.675e-05,8.675e-05,8.675e-05
96,829.989,1.68426,1.29625,1.59628,0.34318,0.3515,0.30934,0.10464,2.47377,2.17022,2.19612,7.4375e-05,7.4375e-05,7.4375e-05
97,838.538,1.68718,1.31131,1.59398,0.40875,0.34095,0.31106,0.1064,2.45522,2.17405,2.17779,6.2e-05,6.2e-05,6.2e-05
98,847.117,1.69231,1.26475,1.57396,0.37478,0.32745,0.29904,0.10252,2.46215,2.19325,2.18171,4.9625e-05,4.9625e-05,4.9625e-05
99,855.648,1.65562,1.26548,1.58119,0.39039,0.31826,0.30293,0.10111,2.47714,2.19703,2.19814,3.725e-05,3.725e-05,3.725e-05
